ID,Work Item Type,Title,Assigned To,State,Tags,Acceptance Criteria,Description
"4","Epic","EP-04 Sistema Automatizado de Reportería y Control de Actividad",,"New",,,"<div><div style=""margin-top:14px;margin-bottom:14px;"">Como Administrador del Banco, quiero garantizar que el sistema genere automáticamente el historial de movimientos y los documentos oficiales (extractos y certificados) para todos los clientes, con el fin de eliminar la carga operativa manual en las sucursales físicas. Busco asegurar que cada transacción sea trazable y que el banco cumpla con las auditorías legales, reduciendo el riesgo de errores humanos y optimizando los tiempos de respuesta del servicio al cliente mediante la autogestión digital </div> </div>"
"5","Epic","EP-05 Reportes de Actividad Financiera",,"New",,,"<div style=""margin-top:14px;margin-bottom:14px;"">Como Administrador del Banco, mi objetivo con esta épica es generar reportes básicos sobre la actividad de cuentas y transacciones dentro del sistema, con el fin de garantizar la trazabilidad operativa, el cumplimiento de auditorías internas y la monitorización de la salud financiera de la entidad en tiempo real.<br> </div> "
"19","Feature","FT-14 Trazabilidad Transaccional ( Historial)",,"New",,,"<div><p>Componente encargado de indexar y exponer en tiempo real todos los registros de entrada y salida de dinero procesados en la Épica 03 por cada producto activo.&nbsp; </p> </div>"
"20","Feature","FT -12 Módulo de Transferencias Interbancarias (Red ACH)",,"New",,,"<div style=""margin-top:14px;margin-bottom:14px;"">Componente de interoperabilidad encargado de gestionar el envío de fondos hacia entidades financieras externas a través de redes de compensación nacional. Este módulo administra transacciones asíncronas, encargándose de la validación de códigos bancarios, tipos de documento del receptor externo y la gestión de ciclos de cumplimiento. Su arquitectura está diseñada para manejar estados intermedios ('En proceso') y protocolos de reversión automática en caso de que el banco destino rechace la transacción por inconsistencias en los datos.<br> </div> "
"21","Feature","FT-15 Entrega de reportes",,"New",,,"<div><p> </p>Esta funcionalidad permite la consolidación de la actividad financiera mensual del cliente en un documento electrónico oficial (PDF). El sistema debe extraer los saldos iniciales, movimientos y saldos finales de la base de datos transaccional, aplicar un formato institucional estandarizado , permitiendo al usuario su descarga segura para los fines que designe el usuario.<br> </div>"
"22","Feature","FT-16 Reporte de transacciones realizadas",,"New",,,"Esta funcionalidad proporciona al personal administrativo y de cumplimiento una visión consolidada de todo el flujo de dinero procesado por el sistema. Permite extraer datos masivos de transacciones para conciliaciones bancarias, detección de patrones de fraude y reportes de rentabilidad, garantizando que cada centavo sea rastreable en el ecosistema del banco"
"23","Feature","FT-17 Reporte de Consolidación de Saldos y Estados de Cuenta",,"New",,,"<div><p> </p>Esta funcionalidad permite al administrador financiero visualizar la posición de liquidez total de la entidad. Consolida los saldos actuales de todas las cuentas registradas, permitiendo identificar la cantidad de recursos en custodia y el estado operativo (Activa, Cerrada, Bloqueada) de cada producto financiero en el sistema<br> </div>"
"24","Feature","FT-18 Reporte de actividad por cliente",,"New",,,"<div>Esta funcionalidad permite al personal administrativo realizar una búsqueda profunda y específica de la actividad de un cliente único. Facilita la resolución de disputas, la atención a peticiones de soporte y el análisis de comportamiento financiero individual mediante la consolidación de todos los movimientos y saldos históricos asociados a un número de identificación. </div>"
"40","User Story","HU-15 Generación de extracto bancario oficial en formato PDF",,"New",,"<h4><b>Escenario 1: Generación exitosa de extracto de mes cerrado</b> </h4><ul><li><p>Dado que el usuario se encuentra en la sección de &quot;Documentos y Extractos&quot; </p> </li><li><p>Y selecciona un mes cuyo ciclo contable ya ha finalizado (ejemplo: mes anterior) </p> </li><li><p>Cuando el usuario presiona el botón &quot;Descargar PDF&quot; </p> </li><li><p>Entonces el sistema debe consultar la base de datos de transacciones de ese periodo </p> </li><li><p>Y generar un archivo PDF que incluya:&nbsp; Saldo inicial, Detalle de movimientos, y Saldo final. </p> </li> </ul><h4><b>Escenario 2: Intento de descarga de mes en curso&nbsp;</b> </h4><ul><li><p>Dado que el usuario intenta descargar el extracto del mes que aún no ha terminado </p> </li><li><p>Cuando selecciona el mes actual en el menú desplegable </p> </li><li><p>Entonces el sistema debe mostrar un mensaje informativo: <i>&quot;El extracto oficial estará disponible al finalizar el periodo actual&quot;</i> </p> </li><li><p>Y el botón de descarga debe permanecer inhabilitado. </p> </li> </ul><h4><b>Escenario 3: Integridad y Seguridad del documento</b> </h4><ul><li><p>Dado que el archivo PDF ha sido generado </p> </li><li><p>Cuando el usuario abre el archivo descargado </p> </li><li><p>Entonces el documento debe tener propiedades de &quot;Solo Lectura&quot; para evitar alteraciones manuales </p> </li> </ul><br>","<div><blockquote><p>Como&nbsp;cliente del banco, quiero generar y descargar mi extracto bancario mensual en un archivo PDF,
Para disponer de un soporte de mis movimientos financieros. </p></blockquote> </div>"
"41","User Story","HU-16 Generacion de Reporte Maestro de Movimientos",,"New",,"<h4><b>Escenario 1: Filtro masivo por rango de fechas</b> </h4><ul><li><p>Dado que el administrador accede al panel de &quot;Reportes Maestros&quot;. </p> </li><li><p>Cuando ingresa una fecha de inicio y una fecha de fin. </p> </li><li><p>Entonces el sistema debe extraer todas las transacciones (exitosas y fallidas) ocurridas en ese periodo. </p> </li><li><p>Y mostrar el volumen total transaccionado (suma de todos los montos de transacciones exitosas). </p> </li> </ul><h4><b>Escenario 2: Identificación de cuentas origen y destino</b> </h4><ul><li><p>Dado que el reporte se ha generado en pantalla. </p> </li><li><p>Entonces cada registro debe mostrar claramente el ID de la cuenta que envió el dinero, el ID de la cuenta que lo recibió y el tipo de canal utilizado (Cajero, Web o App). </p> </li> </ul><h4><b>Escenario 3: Exportación para análisis externo</b> </h4><ul><li><p>Dado que el auditor necesita procesar los datos en una herramienta externa (como Excel o Power BI). </p> </li><li><p>Cuando selecciona la opción &quot;Exportar a CSV/Excel&quot;. </p> </li><li><p>Entonces el sistema debe generar un archivo descargable con todas las columnas de la base de datos transaccional. </p> </li> </ul><h4><br> </h4>","<div>Como Auditor de Cumplimiento, quiero generar un reporte detallado de todas las transacciones realizadas en el sistema en un rango de fechas,
Para verificar la integridad de los fondos y cumplir con requerimientos de transparencia.<br> </div>"
